I0, V0, P0, I20, V20, P20, I40, V40, P40, I60, V60, P60, I80, V80, P80
0.27019,5.2997,1.4319,0.27019,5.2973,1.4313,0.27019,5.2892,1.4291,0.27019,5.2691,1.4237,0.27019,-7.5892,-2.0505
0.27539,5.2981,1.459,0.27539,5.2957,1.4584,0.27539,5.2876,1.4561,0.27539,5.2673,1.4505,0.27539,-8.2061,-2.2599
0.28058,5.2966,1.4861,0.28058,5.2942,1.4855,0.28058,5.2859,1.4832,0.28058,5.2655,1.4774,0.28058,-8.8231,-2.4756
0.28578,5.295,1.5132,0.28578,5.2926,1.5125,0.28578,5.2843,1.5102,0.28578,5.2637,1.5043,0.28578,-9.4401,-2.6978
0.29098,5.2934,1.5403,0.29098,5.291,1.5396,0.29098,5.2827,1.5371,0.29098,5.2619,1.5311,0.29098,-10.057,-2.9264
0.29617,5.2919,1.5673,0.29617,5.2895,1.5666,0.29617,5.2811,1.5641,0.29617,5.2601,1.5579,0.29617,-10.674,-3.1613
0.30137,5.2903,1.5943,0.30137,5.2879,1.5936,0.30137,5.2795,1.5911,0.30137,5.2583,1.5847,0.30137,-11.291,-3.4027
0.30656,5.2888,1.6213,0.30656,5.2863,1.6206,0.30656,5.2779,1.618,0.30656,5.2565,1.6114,0.30656,-11.908,-3.6505
0.31176,5.2872,1.6483,0.31176,5.2848,1.6476,0.31176,5.2763,1.6449,0.31176,5.2546,1.6382,0.31176,-12.525,-3.9048
0.31696,5.2856,1.6753,0.31696,5.2832,1.6745,0.31696,5.2746,1.6718,0.31696,5.2528,1.6649,0.31696,-13.142,-4.1654
0.32215,5.2841,1.7023,0.32215,5.2816,1.7015,0.32215,5.273,1.6987,0.32215,5.251,1.6916,0.32215,-13.759,-4.4324
0.32735,5.2825,1.7292,0.32735,5.28,1.7284,0.32735,5.2714,1.7256,0.32735,5.2492,1.7183,0.32735,-14.376,-4.7059
0.33254,5.281,1.7561,0.33254,5.2785,1.7553,0.33254,5.2698,1.7524,0.33254,5.2473,1.745,0.33254,-14.993,-4.9857
0.33774,5.2794,1.7831,0.33774,5.2769,1.7822,0.33774,5.2682,1.7793,0.33774,5.2455,1.7716,0.33774,-15.61,-5.272
0.34294,5.2778,1.81,0.34294,5.2753,1.8091,0.34294,5.2665,1.8061,0.34294,5.2436,1.7982,0.34294,-16.227,-5.5647
0.34813,5.2763,1.8368,0.34813,5.2737,1.836,0.34813,5.2649,1.8329,0.34813,5.2418,1.8248,0.34813,-16.844,-5.8638
0.35333,5.2747,1.8637,0.35333,5.2722,1.8628,0.35333,5.2633,1.8597,0.35333,5.2399,1.8514,0.35333,-17.461,-6.1693
0.35852,5.2731,1.8905,0.35852,5.2706,1.8896,0.35852,5.2617,1.8864,0.35852,5.238,1.878,0.35852,-18.078,-6.4812
0.36372,5.2716,1.9174,0.36372,5.269,1.9164,0.36372,5.26,1.9132,0.36372,5.2361,1.9045,0.36372,-18.695,-6.7996
0.36892,5.27,1.9442,0.36892,5.2674,1.9432,0.36892,5.2584,1.9399,0.36892,5.2343,1.931,0.36892,-19.311,-7.1243
0.37411,5.2684,1.971,0.37411,5.2659,1.97,0.37411,5.2568,1.9666,0.37411,5.2324,1.9575,0.37411,-19.928,-7.4555
0.37931,5.2669,1.9978,0.37931,5.2643,1.9968,0.37931,5.2551,1.9933,0.37931,5.2305,1.984,0.37931,-20.545,-7.793
0.3845,5.2653,2.0245,0.3845,5.2627,2.0235,0.3845,5.2535,2.02,0.3845,5.2286,2.0104,0.3845,-21.162,-8.137
0.3897,5.2637,2.0513,0.3897,5.2611,2.0503,0.3897,5.2519,2.0466,0.3897,5.2266,2.0368,0.3897,-21.779,-8.4874
0.3949,5.2622,2.078,0.3949,5.2595,2.077,0.3949,5.2502,2.0733,0.3949,5.2247,2.0632,0.3949,-22.396,-8.8442
0.40009,5.2606,2.1047,0.40009,5.2579,2.1037,0.40009,5.2486,2.0999,0.40009,5.2228,2.0896,0.40009,-23.013,-9.2074
0.40529,5.259,2.1314,0.40529,5.2564,2.1303,0.40529,5.2469,2.1265,0.40529,5.2208,2.1159,0.40529,-23.63,-9.5771
0.41048,5.2575,2.1581,0.41048,5.2548,2.157,0.41048,5.2453,2.1531,0.41048,5.2189,2.1423,0.41048,-24.247,-9.9531
0.41568,5.2559,2.1848,0.41568,5.2532,2.1836,0.41568,5.2437,2.1797,0.41568,5.2169,2.1686,0.41568,-24.864,-10.336
0.42088,5.2543,2.2114,0.42088,5.2516,2.2103,0.42088,5.242,2.2062,0.42088,5.215,2.1949,0.42088,-25.481,-10.724
0.42607,5.2527,2.238,0.42607,5.25,2.2369,0.42607,5.2404,2.2328,0.42607,5.213,2.2211,0.42607,-26.098,-11.12
0.43127,5.2512,2.2647,0.43127,5.2484,2.2635,0.43127,5.2387,2.2593,0.43127,5.211,2.2473,0.43127,-26.715,-11.521
0.43646,5.2496,2.2913,0.43646,5.2468,2.2901,0.43646,5.2371,2.2858,0.43646,5.209,2.2735,0.43646,-27.332,-11.929
0.44166,5.248,2.3178,0.44166,5.2453,2.3166,0.44166,5.2354,2.3123,0.44166,5.207,2.2997,0.44166,-27.949,-12.344
0.44686,5.2464,2.3444,0.44686,5.2437,2.3432,0.44686,5.2338,2.3387,0.44686,5.205,2.3259,0.44686,-28.566,-12.765
0.45205,5.2449,2.371,0.45205,5.2421,2.3697,0.45205,5.2321,2.3652,0.45205,5.2029,2.352,0.45205,-29.183,-13.192
0.45725,5.2433,2.3975,0.45725,5.2405,2.3962,0.45725,5.2305,2.3916,0.45725,5.2009,2.3781,0.45725,-29.8,-13.626
0.46244,5.2417,2.424,0.46244,5.2389,2.4227,0.46244,5.2288,2.418,0.46244,5.1988,2.4042,0.46244,-30.417,-14.066
0.46764,5.2401,2.4505,0.46764,5.2373,2.4492,0.46764,5.2271,2.4444,0.46764,5.1967,2.4302,0.46764,-31.034,-14.513
0.47284,5.2386,2.477,0.47284,5.2357,2.4756,0.47284,5.2255,2.4708,0.47284,5.1947,2.4562,0.47284,-31.651,-14.966
0.47803,5.237,2.5034,0.47803,5.2341,2.5021,0.47803,5.2238,2.4972,0.47803,5.1925,2.4822,0.47803,-32.268,-15.425
0.48323,5.2354,2.5299,0.48323,5.2325,2.5285,0.48323,5.2222,2.5235,0.48323,5.1904,2.5082,0.48323,-32.885,-15.891
0.48842,5.2338,2.5563,0.48842,5.2309,2.5549,0.48842,5.2205,2.5498,0.48842,5.1883,2.5341,0.48842,-33.502,-16.363
0.49362,5.2322,2.5827,0.49362,5.2293,2.5813,0.49362,5.2188,2.5761,0.49362,5.1861,2.56,0.49362,-34.119,-16.842
0.49882,5.2306,2.6091,0.49882,5.2277,2.6077,0.49882,5.2171,2.6024,0.49882,5.184,2.5858,0.49882,-34.736,-17.327
0.50401,5.2291,2.6355,0.50401,5.2261,2.634,0.50401,5.2155,2.6287,0.50401,5.1818,2.6117,0.50401,-35.353,-17.818
0.50921,5.2275,2.6619,0.50921,5.2245,2.6604,0.50921,5.2138,2.6549,0.50921,5.1795,2.6375,0.50921,-35.97,-18.316
0.5144,5.2259,2.6882,0.5144,5.2229,2.6867,0.5144,5.2121,2.6811,0.5144,5.1773,2.6632,0.5144,-36.586,-18.82
0.5196,5.2243,2.7146,0.5196,5.2213,2.713,0.5196,5.2104,2.7073,0.5196,5.1751,2.689,0.5196,-37.203,-19.331
0.5248,5.2227,2.7409,0.5248,5.2197,2.7393,0.5248,5.2088,2.7335,0.5248,5.1728,2.7146,0.5248,-37.82,-19.848
0.52999,5.2211,2.7672,0.52999,5.2181,2.7656,0.52999,5.2071,2.7597,0.52999,5.1705,2.7403,0.52999,-38.437,-20.372
0.53519,5.2195,2.7934,0.53519,5.2165,2.7918,0.53519,5.2054,2.7859,0.53519,5.1681,2.7659,0.53519,-39.054,-20.901
0.54038,5.218,2.8197,0.54038,5.2149,2.8181,0.54038,5.2037,2.812,0.54038,5.1658,2.7915,0.54038,-39.671,-21.438
0.54558,5.2164,2.8459,0.54558,5.2133,2.8443,0.54558,5.202,2.8381,0.54558,5.1634,2.817,0.54558,-40.288,-21.98
0.55078,5.2148,2.8722,0.55078,5.2117,2.8705,0.55078,5.2003,2.8642,0.55078,5.1609,2.8425,0.55078,-40.905,-22.53
0.55597,5.2132,2.8984,0.55597,5.2101,2.8967,0.55597,5.1986,2.8903,0.55597,5.1585,2.868,0.55597,-41.522,-23.085
0.56117,5.2116,2.9246,0.56117,5.2085,2.9228,0.56117,5.1969,2.9164,0.56117,5.156,2.8934,0.56117,-42.139,-23.647
0.56636,5.21,2.9508,0.56636,5.2069,2.949,0.56636,5.1953,2.9424,0.56636,5.1534,2.9187,0.56636,-42.756,-24.216
0.57156,5.2084,2.9769,0.57156,5.2053,2.9751,0.57156,5.1936,2.9684,0.57156,5.1508,2.944,0.57156,-43.373,-24.79
0.57676,5.2068,3.0031,0.57676,5.2036,3.0012,0.57676,5.1918,2.9944,0.57676,5.1482,2.9692,0.57676,-43.99,-25.372
0.58195,5.2052,3.0292,0.58195,5.202,3.0273,0.58195,5.1901,3.0204,0.58195,5.1455,2.9944,0.58195,-44.607,-25.959
0.58715,5.2036,3.0553,0.58715,5.2004,3.0534,0.58715,5.1884,3.0464,0.58715,5.1427,3.0196,0.58715,-45.224,-26.553
0.59234,5.202,3.0814,0.59234,5.1988,3.0795,0.59234,5.1867,3.0723,0.59234,5.1399,3.0446,0.59234,-45.841,-27.154
0.59754,5.2004,3.1075,0.59754,5.1972,3.1055,0.59754,5.185,3.0983,0.59754,5.137,3.0696,0.59754,-46.458,-27.76
0.60274,5.1988,3.1335,0.60274,5.1956,3.1316,0.60274,5.1833,3.1242,0.60274,5.1341,3.0945,0.60274,-47.075,-28.374
0.60793,5.1972,3.1596,0.60793,5.1939,3.1576,0.60793,5.1816,3.15,0.60793,5.131,3.1193,0.60793,-47.692,-28.993
0.61313,5.1956,3.1856,0.61313,5.1923,3.1836,0.61313,5.1799,3.1759,0.61313,5.1279,3.1441,0.61313,-48.309,-29.619
0.61832,5.194,3.2116,0.61832,5.1907,3.2095,0.61832,5.1781,3.2018,0.61832,5.1247,3.1687,0.61832,-48.926,-30.252
0.62352,5.1924,3.2376,0.62352,5.1891,3.2355,0.62352,5.1764,3.2276,0.62352,5.1213,3.1932,0.62352,-49.543,-30.891
